"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",16,26,7,24,17,27,15,19,1,4,9,28,23,9,10,10,27,9,11
"2",20,16,8,7,18,2,16,21,12,10,27,12,22,7,19,27,3,29,28
"3",7,18,29,8,3,9,10,16,16,12,15,23,29,4,18,2,17,1,2
"4",12,2,3,12,23,5,2,29,8,16,3,17,11,14,22,3,23,14,22
"5",25,8,11,26,25,11,8,22,17,6,13,3,26,25,28,18,13,10,7
"6",13,22,5,11,24,7,25,4,21,8,18,8,6,3,7,21,21,4,14
"7",1,11,1,29,21,10,14,8,29,19,29,29,15,16,15,29,14,16,5
"8",27,13,4,18,6,20,6,26,11,25,20,14,17,2,2,17,22,23,4
"9",17,27,2,15,1,22,27,14,28,14,16,5,20,24,20,1,11,20,25
"10",18,25,25,3,22,12,26,25,6,27,17,26,7,12,26,16,12,21,10
"11",15,6,26,13,16,4,4,5,27,28,10,6,24,10,9,11,5,22,12
"12",6,24,20,10,28,28,11,28,22,21,23,13,28,27,12,20,19,18,18
"13",29,14,19,17,29,17,19,10,23,2,2,24,16,1,24,7,2,17,17
"14",4,20,6,4,8,16,7,9,3,24,6,10,19,20,25,23,7,6,15
"15",3,7,10,2,10,13,23,23,24,7,11,22,18,21,5,8,24,27,16
"16",9,28,13,19,14,1,29,17,14,20,1,15,12,29,1,14,1,12,1
"17",5,17,15,25,27,15,12,13,4,22,12,2,2,5,6,5,16,25,27
"18",2,9,23,28,9,24,24,27,9,9,19,7,13,11,16,13,4,3,20
"19",24,21,21,27,5,6,22,2,7,17,5,19,27,17,14,19,20,26,21
"20",22,15,22,23,7,3,17,20,25,23,25,11,3,22,23,6,25,7,13
"21",23,1,14,5,4,29,20,18,20,18,4,4,1,8,13,28,15,15,9
"22",19,19,27,21,19,19,5,24,26,13,7,21,9,18,4,26,10,5,26
"23",10,3,16,20,13,18,28,12,18,26,21,20,25,6,29,24,28,11,24
"24",11,23,12,22,11,26,3,3,19,11,24,18,5,13,27,9,8,28,8
"25",8,12,28,14,20,23,18,7,10,5,8,9,10,23,21,25,26,24,3
"26",28,10,9,9,15,25,13,1,13,29,14,25,8,28,17,12,18,2,29
"27",21,5,18,6,26,21,21,6,5,15,26,16,21,19,3,4,9,8,6
"28",26,29,24,1,12,14,1,11,15,1,28,1,14,15,11,15,29,13,23
"29",14,4,17,16,2,8,9,15,2,3,22,27,4,26,8,22,6,19,19
