"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",2,12,22,21,18,10,16,14,18,10,18
"2",11,15,20,7,21,21,7,17,6,3,12
"3",9,21,9,13,22,5,18,7,10,14,22
"4",6,3,6,6,12,1,22,11,15,4,13
"5",22,4,16,12,15,16,12,12,1,22,19
"6",15,8,1,10,19,9,19,21,12,20,6
"7",18,13,11,19,17,3,13,2,5,5,4
"8",7,5,10,14,16,17,4,20,21,8,3
"9",3,18,3,5,14,11,3,6,2,11,7
"10",20,9,2,17,9,12,8,8,19,2,21
"11",1,22,15,11,1,15,11,13,13,1,5
"12",12,16,17,16,7,2,6,9,16,21,2
"13",8,14,5,8,4,18,14,3,20,19,16
"14",13,1,14,1,20,14,9,1,17,15,11
"15",21,19,18,4,11,6,15,18,22,12,9
"16",4,10,12,3,8,4,5,19,8,18,20
"17",16,6,21,9,3,8,1,4,11,7,15
"18",17,20,7,20,13,20,2,15,14,17,14
"19",10,2,4,22,2,7,10,16,4,13,10
"20",14,17,13,15,5,13,21,22,3,6,17
"21",19,11,8,2,6,22,17,10,9,9,1
"22",5,7,19,18,10,19,20,5,7,16,8
