"","V1","V2","V3","V4"
"1",1,1,2,3
"2",2,3,1,3
"3",3,1,3,1
"4",1,2,3,1
"5",1,2,1,1
"6",1,1,1,3
"7",1,3,3,3
"8",3,3,2,1
"9",3,3,2,2
"10",1,1,3,2
"11",2,1,3,3
"12",2,1,3,1
"13",3,2,3,3
"14",2,1,1,2
"15",3,2,2,2
"16",3,1,1,2
"17",2,2,2,1
"18",3,1,2,3
"19",3,2,3,3
"20",3,3,1,3
"21",2,3,3,2
"22",2,2,1,3
"23",3,1,1,1
"24",2,1,2,2
"25",1,1,2,1
"26",1,2,3,2
"27",2,2,2,2
"28",1,3,2,1
"29",2,3,3,1
"30",3,3,3,2
"31",2,2,2,3
"32",2,3,1,1
"33",1,2,1,2
"34",1,3,2,3
"35",3,2,1,1
"36",1,3,1,2
