"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",8,18,21,2,11,23,23,9
"2",12,7,19,5,2,3,9,3
"3",5,14,11,13,4,5,20,12
"4",17,16,12,9,15,18,8,13
"5",20,23,17,19,13,2,18,14
"6",7,2,6,14,16,1,7,23
"7",1,22,14,7,23,7,6,6
"8",14,13,2,1,20,4,12,16
"9",6,15,18,18,19,16,2,2
"10",13,3,15,15,7,19,13,7
"11",19,1,4,8,1,17,21,17
"12",18,10,5,16,12,6,4,8
"13",2,8,20,20,10,10,14,18
"14",15,20,23,11,6,8,1,20
"15",10,11,16,6,17,12,19,21
"16",21,17,7,4,8,11,15,1
"17",3,9,1,10,14,21,17,4
"18",22,6,22,12,21,14,11,11
"19",9,21,3,21,5,13,10,10
"20",16,4,10,22,18,9,22,5
"21",23,12,13,23,3,22,5,22
"22",4,5,9,3,9,15,3,15
"23",11,19,8,17,22,20,16,19
