"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,3,3,2,3,1,4,2,3
"2",3,3,4,4,2,4,1,3,4
"3",4,4,4,4,3,2,2,1,3
"4",1,1,3,4,2,3,3,4,3
"5",2,4,4,2,1,2,1,4,2
"6",2,3,1,3,3,4,2,4,1
"7",1,1,4,2,4,3,2,2,1
"8",1,4,1,3,2,4,4,1,2
"9",2,2,3,3,4,3,4,3,4
"10",2,4,2,1,3,3,3,2,4
"11",2,2,3,4,4,1,1,1,1
"12",3,1,1,2,1,3,1,1,3
"13",3,3,1,4,4,2,3,2,2
"14",3,1,2,2,3,4,4,1,1
"15",3,4,3,3,1,1,3,3,1
"16",4,2,4,3,1,4,3,2,3
"17",4,1,2,3,3,1,1,3,2
"18",1,3,2,3,1,2,2,1,4
"19",4,3,3,1,2,3,1,2,1
"20",4,2,3,1,4,4,2,4,2
"21",2,1,1,4,2,1,2,2,4
"22",3,1,4,1,3,2,4,4,4
"23",4,3,2,4,1,3,4,4,2
"24",3,2,2,2,2,2,2,3,3
"25",2,2,4,1,2,1,3,1,2
"26",4,4,1,2,4,1,3,4,4
"27",1,2,1,1,1,2,4,3,1
"28",1,4,2,1,4,4,1,3,3
