"","V1","V2","V3","V4","V5","V6","V7"
"1",1,1,2,2,2,3,3
"2",1,1,2,1,1,1,2
"3",3,3,3,1,1,1,1
"4",1,2,3,1,2,3,2
"5",3,1,3,3,1,2,3
"6",1,2,1,2,3,2,2
"7",3,3,2,1,3,2,1
"8",3,2,2,2,1,1,3
"9",3,1,3,1,3,3,3
"10",3,3,3,2,3,3,2
"11",1,1,3,3,3,1,2
"12",1,3,3,2,2,1,3
"13",2,3,3,2,2,2,2
"14",2,1,1,3,1,2,2
"15",3,2,1,3,3,1,1
"16",3,1,1,1,2,2,2
"17",1,1,1,1,3,3,1
"18",1,3,1,2,1,2,1
"19",2,2,2,2,3,3,1
"20",2,3,2,1,3,1,2
"21",1,2,3,3,1,3,1
"22",3,1,2,2,2,2,1
"23",2,1,3,2,1,1,1
"24",2,1,2,3,2,3,1
"25",1,3,1,3,2,1,1
"26",1,2,2,1,1,2,3
"27",1,3,2,3,3,2,3
"28",2,3,1,1,1,3,3
"29",2,1,1,2,3,1,3
"30",3,3,1,3,2,3,3
"31",2,2,3,1,2,2,1
"32",2,2,1,1,2,1,3
"33",2,2,3,3,3,2,3
"34",2,3,2,3,1,3,2
"35",3,2,1,2,1,3,2
"36",3,2,2,3,2,1,2
